,Rand_WR,Trace_WR,KFCV,SPCV,Test
32,0.9686189366714144,-10.864281139461411,0.8661063779024568,0.8560109676915453,0.9874010319097013
33,0.9193292930528627,-10.907777747279999,0.8572021666864196,0.9024704327383171,0.8759947204888617
34,0.9440232404850409,-10.899103548602842,0.9101003083361136,0.9378279851958353,0.8642942156097327
35,0.8806038837165243,-10.957025127827167,1.0157573904476545,1.0320188685482394,0.8854293488781272
36,0.8229536861493583,-11.060190756127218,0.9275543294060691,0.9041011790140121,0.8162039096258407
37,0.7773507523305427,-11.056516349417866,0.9723541946682293,0.9801397151727878,0.7605051643168264
38,1.0036829218682712,-10.87096871548553,0.6874891493649936,0.6475879674536104,1.0776027115182374
39,0.892028485283238,-10.98187706137561,0.9283918766277981,0.9650365125693027,0.8514573867389469
40,0.8660377064119923,-10.986213145534856,0.7894323036738263,0.8383166104452894,0.9187708556151575
41,0.9248074887268186,-10.955758094690925,0.7948782947094312,0.8221268323334323,1.0295655438469147
42,0.7580764741586965,-11.09957491496658,0.7368261843241226,0.7022453734213291,1.0428343399459945
43,0.9251260235819524,-10.90800475589207,1.0481878109839007,1.0461246867147336,1.0079219671565367
44,0.8999444351589742,-10.946810405915716,0.9188257713138324,0.950068304809991,0.9094033217830181
45,0.654473796335309,-11.174189068158595,1.027591694924467,1.0703399379500558,0.9613341047217212
46,0.9047513880049222,-10.964929202422665,0.9877865796151116,0.9952616875690449,0.949698045075858
47,0.9244853412736974,-10.939341681679908,0.8957646059020554,0.9018941490066386,0.842814419415841
48,0.8776876428441257,-10.949291997913525,0.7914204152937512,0.7930216979476123,0.8683520291629744
49,1.0200694337966862,-10.855491217597821,0.6348463684882606,0.6370485184583052,0.9044219025830194
50,0.777733792682436,-11.076145095846156,1.0847509015261143,1.068473694934292,0.8030102022407398
51,0.8490917988653384,-11.035370095216798,0.8920791029105178,0.8970046443424771,0.9872024570782699
52,0.8632371828035477,-11.024642121335232,0.9927484581745125,1.033360905922295,0.6836640417254776
53,1.0884619253813905,-10.7422514883241,0.8739373358353795,0.8732156834761822,1.0587100125468507
54,0.9552121959310381,-10.912707062853102,0.6952387221642123,0.6989617746620607,1.0203267072563125
55,0.9780284345325841,-10.876635088818244,0.8620373311701692,0.878185559980005,0.9491231051543373
56,0.839861954771467,-11.003929073178831,0.9374694926144332,0.8955138023118565,0.8091739020887172
57,0.8657169416656733,-10.980508783825933,0.9188636083263718,0.9324110107659085,0.7178437007364831
58,0.9026724071566845,-10.951777412026665,0.8432062417682509,0.844133203629821,0.9329278045052085
59,0.8223144217496623,-11.033977178181381,0.8286450190557026,0.8216442307330117,0.7695138948349282
60,0.9549404602399457,-10.903619049534218,0.8408786048514996,0.8592911418315454,0.9479224876091975
61,0.8659090099661565,-10.988845875434153,0.7383220361342853,0.7030027985333086,0.9601700938242825
62,0.9752810029559906,-10.88366784934027,0.8172303159320347,0.8194425450029564,1.0148973320519472
63,0.9288478858700125,-10.904643339471516,0.7873148969025834,0.832223814851391,0.8862319270954646
